Model,Accuracy,Precision,Recall,F1-score
MLP,0.8910756701730573,0.8931726859231413,0.8910756701730573,0.8904509791457806
CNN,0.9324737020699015,0.9323081913404172,0.9324737020699015,0.9320631229192705
LSTM,0.9049881235154394,0.9078491053787702,0.9049881235154394,0.905293718086867
CNN-LSTM,0.8863250763488293,0.8928949664898804,0.8863250763488293,0.8862823819030737
