model,params,mean_epochs,mean_best_epoch,mean_train_s,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
MLP,156230,38.3,23.3,6.2,0.9064585454134148,0.003482593443805206,0.9054163015666307,0.0034586373771968043,0.9078145974859896,0.0032553641753205204,0.9059434974939816,0.0033981273136682714
CNN,47494,43.7,20.0,42.2,0.9209365456396336,0.007979624035497039,0.9221929670646275,0.007327598404380641,0.9224011317306057,0.0071253274679080585,0.9214248887333077,0.0073495998314225455
LSTM,56518,33.7,14.0,179.6,0.9105304829770388,0.004850533116704357,0.911505113216362,0.004700068167514115,0.9125914468758024,0.005001895073562507,0.9110762325243623,0.005631647253749516
CNN-LSTM,39366,35.3,17.7,56.5,0.9061192172831127,0.013196040094471069,0.9070845418773179,0.012397369919133662,0.9080701233148671,0.013059807544585017,0.9064343679541632,0.013493806278254257
