model,f1_WALKING,f1_WALK_UP,f1_WALK_DOWN,f1_SITTING,f1_STANDING,f1_LAYING
MLP,0.9514,0.9209,0.9292,0.8007,0.839,0.9944
CNN,0.98,0.946,0.9497,0.8192,0.8372,0.9966
LSTM,0.9538,0.9392,0.9315,0.8184,0.8336,0.99
CNN-LSTM,0.9475,0.9406,0.9349,0.7962,0.8319,0.9874
