model,params,mean_epochs,mean_train_s,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
MLP,156230,25.0,2.5,0.902499717226558,0.006185955848376992,0.9019421666321167,0.006611654089586775,0.9035938722061211,0.006665298850232748,0.9018814628755911,0.006482886099489652
CNN,47494,12.7,6.4,0.9066847641669494,0.013067437742768707,0.9071776395587833,0.013186552756683546,0.9077381077515351,0.013242471066872161,0.9064283756688299,0.013556105217055305
LSTM,56518,22.0,72.7,0.9099649360932022,0.01074300927895064,0.910082379882283,0.011660272083909202,0.9116195419128882,0.011245211254218604,0.9104000233173531,0.011428715635179611
CNN-LSTM,39366,15.7,19.5,0.9009161859518153,0.008842086339189268,0.9028569739301523,0.007785460131200042,0.903083721494009,0.008581749842850555,0.9010819260345442,0.00861823369449262
